Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Surface réelle bati, Surface terrain
2014,Vente,230000,53,RUE,LAROCHE,33000,1,120,212
2014,Vente,415000,7,RUE,CHARLES CHAUMET CAUD,33200,1,120,118
2014,Vente,462000,131,RUE,MANDRON,33000,1,105,178
2014,Vente,200000,1,RUE,DE CAUDERAN,33000,1,70,51
2014,Vente,504000,70,RUE,JUDE,33200,1,120,199
2014,Vente,504000,70,RUE,JUDE,33200,1,120,244
2014,Vente,504000,68,RUE,JUDE,33200,1,105,219
2014,Vente,504000,68,RUE,JUDE,33200,1,105,217
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,87,168
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,54,168
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,37,168
2014,Vente,437580,9,RUE,PERINOT,33200,1,130,649
2014,Vente,180000,13,RUE,RAYMOND LARTIGUE,33000,1,100,127
2014,Vente,190000,212,AV,DE LA REPUBLIQUE  CAUD,33200,1,86,207
2014,Vente,226250,66,RUE,GUYNEMER CAUD,33200,1,63,125
2014,Vente,500000,5,RUE,DU MOULIN ROUGE,33200,1,120,413
2014,Vente,303000,31,RUE,DE BRACH,33000,2,40,224
2014,Vente,303000,31,RUE,DE BRACH,33000,2,22,224
2014,Vente,303000,31,RUE,DE BRACH,33000,2,40,224
2014,Vente,380000,9,RUE,DETROIS,33200,1,91,390
2014,Vente,70000,22,IMP,DE LA PRAIRIE,33300,1,40,51
2014,Vente,396000,21,RUE,LEBRUN,33000,2,48,62
2014,Vente,396000,21,RUE,LEBRUN,33000,2,48,62
2014,Vente,396000,21,RUE,LEBRUN,33000,2,46,62
2014,Vente,385000,58,CRS,PORTAL,33000,2,50,76
2014,Vente,385000,58,CRS,PORTAL,33000,3,0,76
2014,Vente,385000,58,CRS,PORTAL,33000,2,50,76
2014,Vente,385000,58,CRS,PORTAL,33000,4,40,76
2014,Vente,385000,58,CRS,PORTAL,33000,4,20,76
2014,Vente,469700,1,RUE,MANDRON,33000,1,70,48
2014,Vente,310000,129,RUE,DE LA LIBERTE,33200,1,85,293
2014,Vente,301341,31,BD,ANTOINE GAUTIER,33000,4,469,695
2014,Vente,293000,16,RUE,REPOND,33000,1,80,71
2014,Vente,450000,96,BD,PIERRE 1ER,33000,4,323,544
2014,Vente,370700,21,RUE,LAGRAVEYRE,33200,1,139,558
2014,Vente,397000,53,RUE,SOUBIRAS CAUD,33200,1,85,223
2014,Vente,248500,44,RUE,D ORMILLY,33200,1,90,74
2014,Vente,285000,43,RUE,GOUFFRAND,33300,2,40,74
2014,Vente,285000,43,RUE,GOUFFRAND,33300,2,40,74
2014,Vente,743000,44,RUE,SCALIGER,33000,4,36,182
2014,Vente,743000,44,RUE,SCALIGER,33000,2,33,182
2014,Vente,743000,44,RUE,SCALIGER,33000,3,0,182
2014,Vente,743000,44,RUE,SCALIGER,33000,4,110,182
2014,Vente,743000,44,RUE,SCALIGER,33000,2,45,182
2014,Vente,140000,34,ALL,DE VAMPEULE,33300,1,80,699
2014,Vente,60000,130,BD,ALBERT BRANDENBURG,33300,2,47,169
2014,Vente,60000,130,BD,ALBERT BRANDENBURG,33300,2,44,169
2014,Vente,650000,9,BD,DU PRESIDENT WILSON,33200,4,300,135
2014,Vente,265000,3,RUE,PEYREBLANQUE,33000,1,90,63
2014,Vente,336650,209,AV,DE LA REPUBLIQUE  CAUD,33200,1,111,299
2014,Vente,585500,17,RUE,DE PAUILLAC CAUD,33200,1,160,224
2014,Vente,953700,70,CRS,MARC NOUAUX,33000,1,190,211
2014,Vente,265000,52,RUE,NAUJAC,33000,1,80,179
2014,Vente,350000,21,IMP,SULLY,33000,1,90,50
2014,Vente,1880000,23,RUE,FERRERE,33000,2,122,429
2014,Vente,1880000,23,RUE,FERRERE,33000,4,196,429
2014,Vente,1880000,23,RUE,FERRERE,33000,2,111,429
2014,Vente,1880000,23,RUE,FERRERE,33000,2,123,429
2014,Vente,240000,42,RUE,DES BLEUETS CAUD,33200,1,60,405
2014,Vente,328000,17,RUE,ALFRED DE VIGNY,33200,1,95,690
2014,Vente,11390000,20,RUE,DU CHATEAU D EAU,33000,4,7157,3505
2014,Vente,8370000,114,RUE,GEORGES BONNAC,33000,4,16941,2401
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,48,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,4,219,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,48,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,48,73
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,1,110,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,4,225,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,580
2014,Vente,200000,126,RUE,DE LA LIBERTE,33200,1,55,85
2014,Vente,218000,5,RUE,MURAT,33200,1,90,357
2014,Vente,391000,82,RUE,ROBERT D ENNERY,33200,1,85,238
2014,Vente,170000,1,RUE,DE LASEPPE,33000,1,66,67
2014,Vente,170000,1,RUE,DE LASEPPE,33000,4,40,67
2014,Vente,2200000,22,PL,CHARLES GRUET,33000,4,1112,940
2014,Vente,2200000,22,PL,CHARLES GRUET,33000,2,118,940
2014,Vente,230000,89,CITE,LAFON,33300,1,114,393
2014,Vente,405000,59,RUE,DELBOS,33300,2,30,319
2014,Vente,405000,59,RUE,DELBOS,33300,2,25,319
2014,Vente,405000,59,RUE,DELBOS,33300,2,105,319
2014,Vente,405000,59,RUE,DELBOS,33300,2,25,319
2014,Vente,405000,59,RUE,DELBOS,33300,2,80,319
2014,Vente,750000,309,AV,D ARES,33200,4,795,1664
2014,Vente,440000,20,RUE,GABRIEL LEGLISE,33200,1,138,544
2014,Vente,765000,53,CRS,SAINT LOUIS,33300,1,393,448
2014,Vente,328000,22,RUE,HAZERA,33200,1,120,149
2014,Vente,400000,15,RUE,J BAPTISTE COLBERT,33200,1,105,22
2014,Vente,400000,15,RUE,J BAPTISTE COLBERT,33200,1,105,366
2014,Vente,400000,15,RUE,J BAPTISTE COLBERT,33200,1,105,271
2014,Vente,400000,15,RUE,GODARD CAUD,33200,1,82,374
2014,Vente,720200,85,RUE,FAMATINA,33200,1,141,599
2014,Vente,524000,58,AV,ALSACE LORRAINE,33200,1,100,291
2014,Vente,524000,58,AV,ALSACE LORRAINE,33200,3,0,291
2014,Vente,164000,169,RUE,PASTEUR,33200,2,35,89
2014,Vente,164000,169,RUE,PASTEUR,33200,2,20,89
2014,Vente,200000,8,RUE,DU CARDINAL LECOT,33000,1,45,84
